,Data Updated:,"May 23, 2025",,,,,,,,,,,,,,
,No,Site Name (ABR),Node Name (NCE),Site Name (Thai),Site Name (SOR),Site Name (Confirmed),Management IP (Loopback IP),NE Type,Access Network,Region,ABR,,,,,
,566,C3_EO_KTA_NE08_1,C3_EO_KTA_NE08_1,กฟอ.กระทุ่มแบน,กฟอ.กระทุ่มแบน,กฟอ.กระทุ่มแบน,10.10.55.85,NE08E-S6E,21,C3,KTA,,,,,
,567,C3_SS_KTE_NE08_1,C3_SS_KTE_NE08_1,สฟฟ.กระทุ่มแบน 5,สฟฟ.กระทุ่มแบน 5,สฟฟ.กระทุ่มแบน 5,10.10.55.86,NE08E-S6E,21,C3,KTE,,,,,
,568,C3_SS_SMJ_NE8K_1,C3_SS_SMJ_NE8K_1_Ph4,สฟฟ.สมุทรสาคร 10 (แทรกกลาง),สฟฟ.สมุทรสาคร 10 (แทรกกลาง),สฟฟ.สมุทรสาคร 10,10.10.55.87,NetEngine 8000 M6,13,C3,SMJ,,,,,
,569,C3_SS_BAL_NE08_1,C3_SS_BAL_NE08_1,สฟฟ.บางปลา,สฟฟ.บางปลา,สฟฟ.บางปลา,10.10.55.88,NE08E-S6,21,C3,BAL,,,,,
,570,C3_SS_SMA_NE08_1,C3_SS_SMA_NE08_1,สฟฟ.สมุทรสาคร 1,สฟฟ.สมุทรสาคร 1,สฟฟ.สมุทรสาคร 1,10.10.55.89,NE08E-S6,21,C3,SMA,,,,,
,571,C3_SS_DMA_NE08_1,C3_SS_DMA_NE8K_1,สฟฟ.ด่านมะขามเตี้ย,สฟฟ.ด่านมะขามเตี้ย,สฟฟ.ด่านมะขามเตี้ย,10.10.55.9,NetEngine 8000 M6,15,C3,DMA,,,,,
,572,C3_SS_SMG_NE08_1,C3_SS_SMG_NE08_1,สฟฟ.สมุทรสาคร 7,สฟฟ.สมุทรสาคร 7,สฟฟ.สมุทรสาคร 7,10.10.55.90,NE08E-S6E,21,C3,SMG,,,,,
,573,C3_EO_BNC_NE8K_1,C3_EO_BNC_NE8K_1_Ph4,กฟย.บางน้ำจืด,กฟย.บางน้ำจืด,กฟย.ต.บางน้ำจืด,10.10.55.91,NetEngine 8000 M6,21,C3,BNC,,,,,
,574,C3_SS_THT_NE8K_1,C3_SS_THT_NE8K_1_Ph.4,สฟฟ.ท่าทราย 2,สฟฟ.ท่าทราย 2,สฟฟ.ท่าทราย 2,10.10.55.92,NetEngine 8000 M6,21,C3,THT,,,,,
,575,OSN_C2_ADDC_EO_CBR_NE08_1,OSN_C2_ADDC_EO_CBR_NE08_1,ศจฟ.กฟก.2 (ชลบุรี),ศจฟ.กฟก.2 ,ศจฟ.กฟก.2,10.42.247.10,OptiX OSN 1800,PE,C2,CBR,,,,,
,576,OSN_EO_TPM_NE08_1,OSN_EO_TPM_NE08_1,กฟส.ทองผาภูมิ,กฟส.ทองผาภูมิ,กฟส.ทองผาภูมิ,10.42.247.102,OptiX OSN 1800,15,C3,TPM,,,,,
,577,OSN_EO_TPM_NE08_3,OSN_EO_TPM_NE08_3,กฟส.ทองผาภูมิ,กฟส.ทองผาภูมิ,กฟส.ทองผาภูมิ,10.42.247.106,OptiX OSN 1800,15,C3,TPM,,,,,
,578,OSN_C2_SS_CCS,OSN_C2_SS_CCS,สฟฟ.ฉะเชิงเทรา(ES.Chachoengsao),สฟฟ.ฉะเชิงเทรา,สฟฟ.ฉะเชิงเทรา,10.42.247.110,OptiX OSN 1800,PE,C2,CCS,,,,,
,579,New_OSN_C2_CBI_SS_NE40,New_OSN_C2_CBI_SS_NE40,ศจฟ.กฟก.2 (ชลบุรี),ศจฟ.กฟก.2 ,ศจฟ.กฟก.2,10.42.247.114,OptiX OSN 1800,PE,C2,CBI,,,,,
,580,OSN_SS_KPO_NE40_2,OSN_SS_KPO_NE40_2,สฟฟ.เกาะโพธิ์,สฟฟ.เกาะโพธิ์,สฟฟ.เกาะโพธิ์,10.42.247.118,OptiX OSN 1800,PE,C2,KPO,,,,,
,581,OSN_C2_SS_KPO-02,OSN_C2_SS_KPO-02,สฟฟ.เกาะโพธิ์,สฟฟ.เกาะโพธิ์,สฟฟ.เกาะโพธิ์,10.42.247.122,OptiX OSN 1800,PE,C2,KPO,,,,,
,582,OSN_C2_SS_KPO-03,OSN_C2_SS_KPO-03,สฟฟ.เกาะโพธิ์,สฟฟ.เกาะโพธิ์,สฟฟ.เกาะโพธิ์,10.42.247.126,OptiX OSN 1800,PE,C2,KPO,,,,,
,583,New_OSN_C2_SS_BBA,New_OSN_C2_SS_BBA,สฟฟ.บ้านบึง 1,สฟฟ.บ้านบึง 1,สฟฟ.บ้านบึง 1,10.42.247.130,OptiX OSN 1800,PE,C2,BBA,,,,,
,584,New_OSN_C3_WH_KCI_1,New_OSN_C3_WH_KCI_1,คลังพัสดุกาญจนบุรี,คลังพัสดุกาญจนบุรี,คลังพัสดุกาญจนบุรี,10.42.247.134,OptiX OSN 1800,PE,C3,KCI,,,,,
,585,New_OSN_C3_WH_KCI_2,New_OSN_C3_WH_KCI_2,คลังพัสดุกาญจนบุรี,คลังพัสดุกาญจนบุรี,คลังพัสดุกาญจนบุรี,10.42.247.138,OptiX OSN 1800,PE,C3,KCI,,,,,
,586,OSN_C2_SS_BBA_NE08_1,OSN_C2_SS_BBA_NE08_1,สฟฟ.บ้านบึง 1,สฟฟ.บ้านบึง 1,สฟฟ.บ้านบึง 1,10.42.247.14,OptiX OSN 1800,PE,C2,BBA,,,,,
,587,New_OSN_C3_SS_BEA_NE08_1,New_OSN_C3_SS_BEA_NE08_1,สฟฟ.บางเลน,สฟฟ.บางเลน,สฟฟ.บางเลน,10.42.247.142,OptiX OSN 1800,11,C3,BEA,,,,,
,588,OSN_C3_SS_BPB_NE08_2,OSN_C3_SS_BPB_NE08_2,สฟฟ.บ้านโป่ง 2,สฟฟ.บ้านโป่ง 2,สฟฟ.บ้านโป่ง 2,10.42.247.146,OptiX OSN 1800,11,C3,BPB,,,,,
,589,New_OSN_C3_EO_NPR,New_OSN_C3_EO_NPR,กฟย.หนองปรือ,กฟย.หนองปรือ,กฟย.หนองปรือ,10.42.247.150,OptiX OSN 1800,11,C3,NPR,,,,,
,590,OSN_EO_TKD_NE8K_1,OSN_EO_TKD_NE8K_1,กฟย.ท่ากระดาน,กฟย.ท่ากระดาน,กฟย.ท่ากระดาน,10.42.247.154,OptiX OSN 1800,15,C3,TKD,,,,,
,591,OSN_EO_TKD_NE8K_2,OSN_EO_TKD_NE8K_2,กฟย.ท่ากระดาน,กฟย.ท่ากระดาน,กฟย.ท่ากระดาน,10.42.247.158,OptiX OSN 1800,15,C3,TKC,,,,,
,592,New_OSN_C3_EO_LYA_1,New_OSN_C3_EO_LYA_1,กฟส.ลาดหญ้า,กฟส.ลาดหญ้า,กฟส.ลาดหญ้า,10.42.247.162,OptiX OSN 1800,15,C3,LYA,,,,,
,593,OSN_C3_EO_SYA_2,OSN_C3_EO_SYA_2,กฟอ.ไทรโยค (แทรกกลาง),กฟอ.ไทรโยค (แทรกกลาง),กฟอ.ไทรโยค,10.42.247.166,OptiX OSN 1800,15,C3,SYA,,,,,
,594,New_OSN_C3_EO_DAA_NE08_1,New_OSN_C3_EO_DAA_NE08_1,สฟฟ.ด่านช้าง,สฟฟ.ด่านช้าง,สฟฟ.ด่านช้าง,10.42.247.170,OptiX OSN 1800,11,C3,DAA,,,,,
,595,OSN_C1_ADDC_EO_AYY_NE08_1,OSN_C1_ADDC_EO_AYY_NE08_1,ศจฟ.กฟก.1 (อยุธยา),ศจฟ. กฟก.1 (อยุธยา) ,ศจฟ.กฟก.1,10.42.247.18,OptiX OSN 1800,2,C1,AYY,,,,,
,596,OSN_C3_SS_BPB_NE08_1,OSN_C3_SS_BPB_NE08_1,สฟฟ.บ้านโป่ง 2,สฟฟ.บ้านโป่ง 2,สฟฟ.บ้านโป่ง 2,10.42.247.2,OptiX OSN 1800,PE,C3,BPB,,,,,
,597,OSN_C1_SS_KYE_NE08_1,OSN_C1_SS_KYE_NE08_1,สฟฟ.โคกแย้(ES.kok Yae),สฟฟ.โคกแย้,สฟฟ.โคกแย้,10.42.247.22,OptiX OSN 1800,2,C1,KYE,,,,,
,598,OSN_C1_SS_PAB_NE08_1,OSN_C1_SS_PAB_NE08_1,สฟฟ.ปราจีนบุรี 2,สฟฟ.ปราจีนบุรี 2,สฟฟ.ปราจีนบุรี 2,10.42.247.26,OptiX OSN 1800,6,C1,PAB,,,,,
,599,OSN_C1_SS_SKW_NE08_1,OSN_C1_SS_SKW_NE08_1,สฟฟ.สระแก้ว,สฟฟ.สระแก้ว,สฟฟ.สระแก้ว,10.42.247.30,OptiX OSN 1800,6,C1,SKW,,,,,
,600,OSN_C1_EO_WNN_NE08_1,OSN_C1_EO_WNN_NE08_1,กฟอ.วังน้ำเย็น(DE.Wang Nam Yen),กฟอ.วังน้ำเย็น,กฟอ.วังน้ำเย็น,10.42.247.38,OptiX OSN 1800,6,C1,WNN,,,,,
,601,OSN_C1_SS_WYA_NE08_1,OSN_C1_SS_WYA_NE08_1,สฟฟ.วังน้ำเย็น,สฟฟ.วังน้ำเย็น,สฟฟ.วังน้ำเย็น,10.42.247.46,OptiX OSN 1800,6,C1,WYA,,,,,
,602,New_OSN_C2_TTA_NE08,New_OSN_C2_TTA_NE08,สฟฟ.ตราด,สฟฟ.ตราด,สฟฟ.ตราด,10.42.247.53,OptiX OSN 1800,PE,C2,TTA,,,,,
,603,OSN_SS_KYA_NE08_1,OSN_SS_KYA_NE08_1,สฟฟ.คลองใหญ่,สฟฟ.คลองใหญ่,สฟฟ.คลองใหญ่,10.42.247.58,OptiX OSN 1800,10,C2,KYA,,,,,
,604,OSN_C3_SS_BEA_NE08_1,OSN_C3_SS_BEA_NE08_1,สฟฟ.บางเลน,สฟฟ.บางเลน,สฟฟ.บางเลน,10.42.247.6,OptiX OSN 1800,PE,C3,BEA,,,,,
,605,New_OSN_C3_EO_BOP,New_OSN_C3_EO_BOP,สฟฟ.บ่อพลอย,สฟฟ.บ่อพลอย,สฟฟ.บ่อพลอย,10.42.247.70,OptiX OSN 1800,PE,C3,BOP,,,,,
,606,New_OSN_C3_EO_TQA,New_OSN_C3_EO_TQA,กฟย.ทุ่งคอก,กฟย.ทุ่งคอก,กฟย.ทุ่งคอก,10.42.247.74,OptiX OSN 1800,PE,C3,TQA,,,,,
,607,OSN_SS_SYA_NE08,OSN_SS_SYA_NE08,สฟฟ.ไทรโยค,สฟฟ.ไทรโยค,สฟฟ.ไทรโยค,10.42.247.77,OptiX OSN 1800,15,C3,SYA,,,,,
,608,New_OSN_C3_EO_SYA,New_OSN_C3_EO_SYA,กฟอ.ไทรโยค (แทรกกลาง),กฟอ.ไทรโยค (แทรกกลาง),กฟอ.ไทรโยค,10.42.247.81,OptiX OSN 1800,15,C3,SYA,,,,,
,609,OSN_EO_SKB_NE08,OSN_EO_SKB_NE08,กฟย.สังขละบุรี,กฟย.สังขละบุรี,กฟย.สังขละบุรี,10.42.247.86,OptiX OSN 1800,15,C3,SKB,,,,,
,610,OSN_C3_EO_SYA_1,OSN_C3_EO_SYA_1,กฟอ.ไทรโยค (แทรกกลาง),กฟอ.ไทรโยค (แทรกกลาง),กฟอ.ไทรโยค,10.42.247.90,OptiX OSN 1800,15,C3,SYA,,,,,
,611,New_OSN_C3_EO_LYA_4,New_OSN_C3_EO_LYA_4,กฟส.ลาดหญ้า,กฟส.ลาดหญ้า,กฟส.ลาดหญ้า,10.42.247.94,OptiX OSN 1800,15,C3,LYA,,,,,
,612,OSN_EO_TPM_NE08_2,OSN_EO_TPM_NE08_2,กฟส.ทองผาภูมิ,กฟส.ทองผาภูมิ,กฟส.ทองผาภูมิ,10.42.247.98,OptiX OSN 1800,15,C3,TPM,,,,,
,613,INMS_PC_TEST,INMS_PC_TEST,#N/A,#N/A,#N/A,10.43.107.66,3rd-Party ICMP Device,PE,HQ,HQ,,,,,
,614,S3_SS_TUA_A903,S3_SS_TUA_A903,#N/A,#N/A,#N/A,10.43.46.70,3rd-Party ICMP Device,PE,S3,TUA,,,,,
,615,S3_EO_KHL_A903,S3_EO_KHL_A903,#N/A,#N/A,#N/A,10.43.46.72,SNMP Device,PE,S3,KHL,,,,,
,616,OSN_C1_EO_BHK_NE40_1,OSN_C1_EO_BHK_NE40_1,กฟฟ.บ้านหินกอง,กฟฟ.บ้านหินกอง,กฟฟ.บ้านหินกอง,10.43.85.10,OptiX OSN 1800,PE,C1,BHK,,,,,
,617,OSN_C2_SS_CTA,OSN_C2_SS_CTA,สฟฟ.จันทบุรี,สฟฟ.จันทบุรี,สฟฟ.จันทบุรี,10.43.85.102,OptiX OSN 1800 II TP,PE,C2,CTA,,,,,
,618,OSN_C1_SS_BSA_NE40,OSN_C1_SS_BSA_NE40,สฟฟ.บางไทร,สฟฟ.บางไทร,สฟฟ.บางไทร,10.43.85.13,OptiX OSN 1800,PE,C1,BSA,,,,,
,619,OSN_SS_PJA_NE40,OSN_SS_PJA_NE40,สฟฟ.พระพุทธบาท 1,สฟฟ.พระพุทธบาท 1,สฟฟ.พระพุทธบาท 1,10.43.85.18,OptiX OSN 1800,PE,C1,PJA,,,,,
,620,C3_OSN_EO_DAA_NE8KM14_1,C3_OSN_EO_DAA_NE8KM14_1,สฟฟ.ด่านช้าง,สฟฟ.ด่านช้าง,สฟฟ.ด่านช้าง,10.43.85.198,OptiX OSN 1800 II TP,PE,C3,DAA,,,,,
,621,OSN_C3_EO_SPI_A9K,OSN_C3_EO_SPI_A9K,กฟจ.สุพรรณบุรี(PE.Suphan Buri),กฟจ.สุพรรณบุรี,กฟจ.สุพรรณบุรี,10.43.85.202,OptiX OSN 1800 II TP,PE,C3,SPI,,,,,
,622,OSN_C2_SS_PLU_NE40_1,OSN_C2_SS_PLU_NE40_1,สฟฟ.ปลวกแดง 1,สฟฟ.ปลวกแดง 1,สฟฟ.ปลวกแดง 1,10.43.85.22,OptiX OSN 1800,PE,C2,PLU,,,,,
,623,OSN_C1_EO_BHK_NE40_2,OSN_C1_EO_BHK_NE40_2,กฟฟ.บ้านหินกอง,กฟฟ.บ้านหินกอง,กฟฟ.บ้านหินกอง,10.43.85.30,OptiX OSN 1800,PE,C1,BHK,,,,,
,624,OSN_C2_SS_PLU_NE40_2,OSN_C2_SS_PLU_NE40_2,สฟฟ.ปลวกแดง 1,สฟฟ.ปลวกแดง 1,สฟฟ.ปลวกแดง 1,10.43.85.34,OptiX OSN 1800,PE,C2,PLU,,,,,
,625,OSN_C1_EO_RSA_NE40,OSN_C1_EO_RSA_NE40,DRC#2,DRC#2,DRC#2,10.43.85.37,OptiX OSN 1800,PE,HQ,DRC#2,,,,,
,626,OSN_C1_EO_SBI_NE40,OSN_C1_EO_SBI_NE40,กฟจ.สระบุรี,กฟจ.สระบุรี,กฟจ.สระบุรี,10.43.85.42,OptiX OSN 1800,PE,C1,SBI,,,,,
,627,OSN_C1_SS_WAM_NE08_1,OSN_C1_SS_WAM_NE08_1,สฟฟ.วังม่วง,สฟฟ.วังม่วง,สฟฟ.วังม่วง,10.43.85.45,OptiX OSN 1800,4,C1,WAM,,,,,
,628,OSN_C1_ADDC_NE40,OSN_C1_ADDC_NE40,ศจฟ.กฟก.1 (อยุธยา),ศจฟ. กฟก.1 (อยุธยา) ,ศจฟ.กฟก.1,10.43.85.49,OptiX OSN 1800,PE,C1,AYY,,,,,
,629,OSN_SS_CBI_NE40_2,OSN_SS_CBI_NE40_2,ศจฟ.กฟก.2 (ชลบุรี),ศจฟ.กฟก.2 ,ศจฟ.กฟก.2,10.43.85.54,OptiX OSN 1800,PE,C2,CBI,,,,,
,630,OSN_C2_RAC_NE40,OSN_C2_RAC_NE40,สฟฟ.ระยอง 3,สฟฟ.ระยอง 3,สฟฟ.ระยอง 3,10.43.85.57,OptiX OSN 1800,PE,C2,RAC,,,,,
,631,OSN_C1_PAB_NE40,OSN_C1_PAB_NE40,สฟฟ.ปราจีนบุรี 2,สฟฟ.ปราจีนบุรี 2,สฟฟ.ปราจีนบุรี 2,10.43.85.90,OptiX OSN 1800 II TP,PE,C1,PAB,,,,,
,632,OSN_C2_SS_CCA_2,OSN_C2_SS_CCA_2,สฟฟ.ฉะเชิงเทรา(ES.Chachoengsao),สฟฟ.ฉะเชิงเทรา,สฟฟ.ฉะเชิงเทรา,10.43.85.94,OptiX OSN 1800 II TP,PE,C2,CCA,,,,,
,633,OSN_SS_KAA_NE40,OSN_SS_KAA_NE40,สฟฟ.แกลง 1,สฟฟ.แกลง 1,สฟฟ.แกลง 1,10.43.85.98,OptiX OSN 1800 II TP,PE,C2,KAA,,,,,
,634,C3_SS_UTH_NE08_1,C3_SS_UTH_NE08_1,สฟฟ.อู่ทอง 2,สฟฟ.อู่ทอง 2,สฟฟ.อู่ทอง 2,10.10.54.40,NE08E-S6E,15,C3,UTH,,,,,
,635,C2_SS_PYV_NE08_1,C2_SS_PYW_NE08_1,สฟฟ.พัทยาใต้ 3,สฟฟ.พัทยาใต้ 3,สฟฟ.พัทยาใต้ 3,10.10.52.157,NE08E-S6E,9,C2,PYV,,,,,
,636,C3_EO_DMA_NE8KM14_1,C3_EO_DMA_NE8KM14_1,กฟส.ด่านมะขามเตี้ย,กฟส.ด่านมะขามเตี้ย,กฟส.ด่านมะขามเตี้ย,10.10.0.181,NetEngine 8000 M14,"PE,15",C3,DMA,,,,,
,637,OSN_SS_KYA_NE08_2,OSN_C2_SS_KYA_2,สฟฟ.คลองใหญ่,สฟฟ.คลองใหญ่,สฟฟ.คลองใหญ่,10.42.247.62,OptiX OSN 1800,10,C2,KYA,,,,,
,638,C1_HQ_DRC1_NE8K_4,C1_HQ_DRC1_NE8K_4,DRC#1,DRC#1,DRC#1,10.10.50.100,NetEngine 8000 M6,2,HQ,DRC#1,,,,,
,639,HQ_HQ_NE8KM14_1,HQ_HQ_NE8KM14_1,สำนักงานใหญ่ กฟภ. (อสก.3),สำนักงานใหญ่ กฟภ. (อสก.3),สำนักงานใหญ่ กฟภ. (อสก.3),10.10.0.184,NetEngine 8000 M14,"PE,1",HQ,HQ,,,,,
,640,Cisco_DRC#1,Cisco_DRC#1,Cisco_DRC#1,Cisco_DRC#1,Cisco_DRC#1,10.10.0.17,3rd-Party ICMP Device,"PE,1,2",HQ,DRC#1,,,,,
,641,C1_SS_SKW_NE08_2,C1_SS_SKW_NE08_2,สฟฟ.สระแก้ว,สฟฟ.สระแก้ว,สฟฟ.สระแก้ว,10.10.50.104,NE08E-S6,6,C1,SKW,,,,,
,642,C2_SS_LMA_NE08_1,C2_SS_LMA_NE08_1,สฟฟ.หลักชัยเมืองยาง,สฟฟ.หลักชัยเมืองยาง,สฟฟ.หลักชัยเมืองยาง,10.10.52.46,NE08E-S6,20,C2,LMA,,,,,
,643,C3_SS_OYI_NE8KM14_1,C3_SS_OYI_NE8KM14_1,สฟฟ.อ้อมใหญ่ 1,สฟฟ.อ้อมใหญ่ 1,สฟฟ.อ้อมใหญ่ 1,10.10.0.186,NetEngine 8000 M14,"PE,13",C3,OYI,,,,,
,644,C2_SS_RIA_NE08_1,C2_SS_RIA_NE08_1,สฟฟ.บ่อไร่,สฟฟ.บ่อไร่,สฟฟ.บ่อไร่,10.10.52.47,NE08E-S6,10,C2,RIA,,,,,
,645,C3_SS_XMU_NE08_1,C3_SS_XMU_NE08_1,สฟฟ.สมุทรสาคร 14 (ชค),สฟฟ.สมุทรสาคร 14 (ชค),สฟฟ.สมุทรสาคร 14 (ชค),10.10.54.45,NE08E-S6,21,C3,XMU,,,,,
,646,C1_SS_WYA_OSN,C1_SS_WYA_OSN,สฟฟ.วังน้ำเย็น,สฟฟ.วังน้ำเย็น,สฟฟ.วังน้ำเย็น,10.43.85.214,OptiX OSN 1800 II TP,PE,C1,WYA,,,,,
,647,C1_HQ_DRC1_NE8K_1,C1_HQ_DRC1_NE8K_1,DRC#1,DRC#1,DRC#1,10.10.50.97,NetEngine 8000 M6,1,HQ,DRC#1,,,,,
,648,C1_SS_TPV_NE8K_1,C1_SS_TPV_NE8K_1,สฟฟ.ตาพระยา (ชค),สฟฟ.ตาพระยา (ชค),สฟฟ.ตาพระยา (ชค),10.10.50.109,NetEngine 8000 M6,6,C1,TPV,,,,,
,649,C3_SS_EKA_NE8KM14_1,C3_SS_EKA_NE8KM14_1,สฟฟ.เอกชัย 1,สฟฟ.เอกชัย 1,สฟฟ.เอกชัย 1,10.10.0.187,NetEngine 8000 M14,"PE,21",C3,EKA,,,,,
,650,C1_HQ_DRC1_NE8K_3,C1_HQ_DRC1_NE8K_3,DRC#1,DRC#1,DRC#1,10.10.50.99,NetEngine 8000 M6,1,HQ,DRC#1,,,,,
,651,C3_SS_UTG_NE8KM14_1,C3_SS_UTG_NE8KM14_1,สฟฟ.อู่ทอง 1,สฟฟ.อู่ทอง 1,สฟฟ.อู่ทอง 1,10.10.0.185,NetEngine 8000 M14,"PE,11",C3,UTG,,,,,
,652,C1_HQ_DRC1_NE8K_2,C1_HQ_DRC1_NE8K_2,DRC#1,DRC#1,DRC#1,10.10.50.98,NetEngine 8000 M6,1,HQ,DRC#1,,,,,
,653,C1_HQ_DRC2_NE8K_1,C1_HQ_DRC2_NE8K_1,DRC#2,DRC#2,DRC#2,10.10.50.101,NetEngine 8000 M6,1,HQ,DRC#2,,,,,
,654,C2_SS_APA_NE8K_2,C2_SS_APA_NE8K_2,สฟฟ.อ่าวไผ่ 1 ,สฟฟ.อ่าวไผ่ 1 ,สฟฟ.อ่าวไผ่ 1 ,10.10.52.44,NetEngine 8000 M6,8,C2,APA,,,,,
,655,C1_SS_SKW_NE40,C1_SS_SKW_NE40,สฟฟ.สระแก้ว,สฟฟ.สระแก้ว,สฟฟ.สระแก้ว,10.10.0.188,NE40E-X3(V8),"PE,6",C1,SKW,,,,,
,656,C1_HQ_DRC2_NE8K_3,C1_HQ_DRC2_NE8K_3,DRC#2,DRC#2,DRC#2,10.10.50.103,NetEngine 8000 M6,2,HQ,DRC#2,,,,,
,657,C1_SS_ATA_NE8KM14_1,C1_SS_ATA_NE8KM14_1,สฟฟ.อ่างทอง 1,สฟฟ.อ่างทอง 1,สฟฟ.อ่างทอง 1,10.10.0.179,NetEngine 8000 M14,"PE,3,4",C1,ATA,,,,,
,658,C3_SS_NPW_NE08_1,C3_SS_NPW_NE08_1,สฟฟ.นครปฐม 4 (ชค),สฟฟ.นครปฐม 4 (ชค),สฟฟ.นครปฐม 4 (ชค),10.10.54.44,NE08E-S6,12,C3,NPW,,,,,
,659,Cisco_DRC#2,Cisco_DRC#2,Cisco_DRC#2,Cisco_DRC#2,Cisco_DRC#2,10.10.0.18,3rd-Party ICMP Device,"PE,1,2",HQ,DRC#2,,,,,
,660,C3_EO_DAA_NE8KM14_1,C3_EO_DAA_NE8KM14_1,กฟอ.ด่านช้าง,กฟอ.ด่านช้าง,กฟอ.ด่านช้าง,10.10.0.180,NetEngine 8000 M14,"PE,11",C3,DAA,,,,,
,661,OSN_C2_EO_HKMK_1,OSN_C2_EO_HKMK_1,กฟย.เกาะหมาก,กฟย.เกาะหมาก,กฟย.เกาะหมาก,10.42.247.66,OptiX OSN 1800,10,C2,HKMK,,,,,
,662,C1_SS_ATA_NE08_2,C1_SS_ATA_NE08_2,สฟฟ.อ่างทอง 1,สฟฟ.อ่างทอง 1,สฟฟ.อ่างทอง 1,10.10.50.105,NE08E-S6E,4,C1,ATA,,,,,
,663,C2_SS_PYO_NE08_1,C2_SS_PYO_NE08_1,สฟฟ.พัทยาเหนือ 2,สฟฟ.พัทยาเหนือ 2,สฟฟ.พัทยาเหนือ 2,10.10.52.45,NE08E-S6,9,C2,PYO,,,,,
,664,C1_HQ_DRC2_NE8K_2,C1_HQ_DRC2_NE8K_2,DRC#2,DRC#2,DRC#2,10.10.50.102,NetEngine 8000 M6,1,HQ,DRC#2,,,,,
,665,HQ_SMC_NE8KM14_2,HQ_SMC_NE8KM14_2,PE SMC 2,PE SMC 2,PE SMC 2,10.10.0.182,NetEngine 8000 M14,"PE,1",HQ,SMC,,,,,
,666,C2_SS_AKU_NE8K_1,C2_SS_AKU_NE8K_1,สฟฟ.อมตะนคร 6 (ชค),สฟฟ.อมตะนคร 6 (ชค),สฟฟ.อมตะนคร 6 (ชค),10.10.52.43,NetEngine 8000 M6,14,C2,AKU,,,,,
,667,C1_SS_SKW_OSN,C1_SS_SKW_OSN,สฟฟ.สระแก้ว,สฟฟ.สระแก้ว,สฟฟ.สระแก้ว,10.43.85.210,OptiX OSN 1800 II TP,PE,C1,SKW,,,,,
,668,C2_SS_APA_NE8KM14_1,C2_SS_APA_NE8KM14_1,สฟฟ.อ่าวไผ่ 1 ,สฟฟ.อ่าวไผ่ 1 ,สฟฟ.อ่าวไผ่ 1 ,10.10.0.183,NetEngine 8000 M14,"PE,8,9",C2,APA,,,,,
,669,C1_SS_KBM_NE08_1,C1_SS_KBM_NE08_1,สฟฟ.กบินทร์บุรี 5,สฟฟ.กบินทร์บุรี 5,สฟฟ.กบินทร์บุรี 5,10.10.50.108,NE08E-S6,6,C1,KBM,,,,,
,670,C3_SS_SMO_NE8K_1,C3_SS_SMO_NE8K_1,สฟฟ.สมุทรสาคร 15,สฟฟ.สมุทรสาคร 15,สฟฟ.สมุทรสาคร 15,10.10.54.43,NetEngine 8000 M6,21,C3,SMO,,,,,
,671,C3_SS_XCA_NE8K_1,C3_SS_XCA_NE8K_1,สฟฟ.สามชุก,สฟฟ.สามชุก,สฟฟ.สามชุก,10.10.54.41,NetEngine 8000 M6,11,C3,XCA,,,,,
,672,C1_CCPAY_NE8K_1,C1_CCPAY_NE8K_1,โรงหล่อคอนกรีตอยุธยา,โรงหล่อคอนกรีตอยุธยา,โรงหล่อคอนกรีตอยุธยา,10.10.50.106,NetEngine 8000 M6,4,C1,CCPAY,,,,,
,673,C3_SS_SMK_NE8K_2,C3_SS_SMK_NE8K_2,สฟฟ.สมุทรสาคร 11,สฟฟ.สมุทรสาคร 11,สฟฟ.สมุทรสาคร 11,10.10.54.42,NetEngine 8000 M6,21,C3,SMK,,,,,
,674,C1_SS_SRG_NE08_1,C1_SS_SRG_NE08_1,สฟฟ.สระบุรี 7,สฟฟ.สระบุรี 7,สฟฟ.สระบุรี 7,10.10.50.107,NE08E-S6E,4,C1,SRC,,,,,
